epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,2456.8,0.60109,0.33984,1.02134,0.95344,0.93931,0.96718,0.82671,0.73706,0.66012,1.20928,0.0008714,0.0008714,0.0008714
59,2484.72,0.60936,0.35663,1.02203,0.96349,0.94954,0.97537,0.81478,0.68472,0.37473,1.08236,0.0008516,0.0008516,0.0008516
60,2512.57,0.58841,0.33767,1.01436,0.95892,0.96359,0.97746,0.82772,0.64729,0.34023,1.09114,0.0008318,0.0008318,0.0008318
61,2540.79,0.59616,0.3421,1.01705,0.94861,0.97248,0.97326,0.82414,0.65423,0.36808,1.0888,0.000812,0.000812,0.000812
62,2563.41,0.58236,0.33456,1.01218,0.96028,0.97248,0.97743,0.82426,0.64585,0.33006,1.06889,0.0007922,0.0007922,0.0007922
63,2588.09,0.57847,0.33067,1.00405,0.95065,0.97197,0.97385,0.82341,0.66312,0.34533,1.04813,0.0007724,0.0007724,0.0007724
64,2615.31,0.58086,0.33306,1.00949,0.95448,0.97248,0.97524,0.82514,0.62663,0.35041,1.06794,0.0007526,0.0007526,0.0007526
65,2638.4,0.5727,0.32581,1.00828,0.96329,0.96302,0.97293,0.82609,0.63455,0.36723,1.06519,0.0007328,0.0007328,0.0007328
66,2662.77,0.58756,0.33581,1.01107,0.96461,0.94954,0.97139,0.82443,0.64419,0.35957,1.054,0.000713,0.000713,0.000713
67,2685.42,0.57585,0.33042,1.01127,0.9552,0.96789,0.97472,0.82846,0.61237,0.35791,1.04737,0.0006932,0.0006932,0.0006932
68,2707.94,0.5642,0.3267,1.00038,0.96538,0.95413,0.97513,0.84009,0.62414,0.32837,1.05517,0.0006734,0.0006734,0.0006734
69,2730.14,0.56262,0.33235,1.0058,0.94533,0.97706,0.97521,0.83714,0.61604,0.3411,1.06156,0.0006536,0.0006536,0.0006536
70,2752.25,0.56565,0.32771,1.00646,0.96341,0.96628,0.97594,0.84201,0.60583,0.32224,1.04659,0.0006338,0.0006338,0.0006338
71,2774.3,0.5573,0.31938,1.00269,0.95533,0.95413,0.97232,0.826,0.63193,0.33139,1.07095,0.000614,0.000614,0.000614
72,2796.42,0.56007,0.32301,1.00561,0.95315,0.95872,0.97695,0.83121,0.63689,0.34901,1.06993,0.0005942,0.0005942,0.0005942
73,2818.31,0.56268,0.31855,1.00258,0.95173,0.97248,0.97825,0.83514,0.60963,0.32914,1.04897,0.0005744,0.0005744,0.0005744
74,2840.36,0.5644,0.32559,1.00414,0.95908,0.95872,0.97339,0.8264,0.62535,0.49378,1.06057,0.0005546,0.0005546,0.0005546
75,2862.34,0.54673,0.31666,1.00011,0.95906,0.96715,0.98051,0.84091,0.61722,0.31923,1.05109,0.0005348,0.0005348,0.0005348
76,2884.41,0.54869,0.3242,1.00116,0.95807,0.95872,0.97518,0.8308,0.6214,0.34752,1.06201,0.000515,0.000515,0.000515
77,2906.44,0.53508,0.31099,0.98691,0.9661,0.94954,0.98121,0.83262,0.62971,0.33158,1.05678,0.0004952,0.0004952,0.0004952
